n_ch 32, n_lat 20
step 100, train batch elbo -214.062027 = -207.344452 - 6.717579
step 200, train batch elbo -176.909134 = -165.555023 - 11.354110
step 300, train batch elbo -140.162460 = -121.839157 - 18.323305
step 400, train batch elbo -123.264114 = -103.291458 - 19.972652
step 500, train batch elbo -118.666519 = -96.135178 - 22.531338
step 600, train batch elbo -114.007187 = -90.860245 - 23.146942
step 700, train batch elbo -111.113342 = -86.925362 - 24.187977
step 800, train batch elbo -109.759384 = -85.778770 - 23.980614
step 900, train batch elbo -114.430557 = -90.071213 - 24.359343
step 1000, train batch elbo -107.706017 = -83.877579 - 23.828436
step 1100, train batch elbo -108.991524 = -84.853928 - 24.137598
step 1200, train batch elbo -104.411026 = -80.201096 - 24.209929
step 1300, train batch elbo -109.419243 = -84.227539 - 25.191706
step 1400, train batch elbo -100.889267 = -77.330536 - 23.558727
step 1500, train batch elbo -107.821762 = -82.789734 - 25.032028
step 1600, train batch elbo -110.361671 = -85.928070 - 24.433603
step 1700, train batch elbo -103.017181 = -78.128372 - 24.888807
step 1800, train batch elbo -107.596100 = -82.875099 - 24.720997
step 1900, train batch elbo -103.377731 = -78.261169 - 25.116558
step 2000, train batch elbo -104.186745 = -79.591751 - 24.594992
step 2100, train batch elbo -105.455193 = -80.650574 - 24.804619
step 2200, train batch elbo -100.681847 = -76.437614 - 24.244230
step 2300, train batch elbo -103.040527 = -77.696396 - 25.344131
step 2400, train batch elbo -99.960609 = -75.007370 - 24.953241
step 2500, train batch elbo -103.784752 = -79.415024 - 24.369730
step 2600, train batch elbo -104.489128 = -80.000954 - 24.488174
step 2700, train batch elbo -104.068848 = -78.514816 - 25.554028
step 2800, train batch elbo -101.751785 = -77.611664 - 24.140123
step 2900, train batch elbo -107.876762 = -83.030960 - 24.845804
step 3000, train batch elbo -103.501404 = -78.871544 - 24.629856
step 3100, train batch elbo -103.679131 = -78.805542 - 24.873587
step 3200, train batch elbo -99.305573 = -75.080849 - 24.224724
step 3300, train batch elbo -100.956261 = -76.726929 - 24.229330
step 3400, train batch elbo -101.490189 = -76.178703 - 25.311485
step 3500, train batch elbo -99.632172 = -75.721779 - 23.910397
step 3600, train batch elbo -98.445038 = -73.977348 - 24.467688
step 3700, train batch elbo -101.084717 = -76.153809 - 24.930904
step 3800, train batch elbo -100.521759 = -76.237305 - 24.284451
step 3900, train batch elbo -103.701004 = -78.165359 - 25.535646
step 4000, train batch elbo -98.856659 = -73.996231 - 24.860430
step 4100, train batch elbo -99.605118 = -75.189545 - 24.415569
step 4200, train batch elbo -103.502670 = -78.411827 - 25.090841
step 4300, train batch elbo -97.933708 = -73.660164 - 24.273544
step 4400, train batch elbo -98.591644 = -73.959145 - 24.632500
step 4500, train batch elbo -100.966110 = -76.611366 - 24.354740
step 4600, train batch elbo -102.326027 = -77.012924 - 25.313103
step 4700, train batch elbo -101.634132 = -76.772003 - 24.862127
step 4800, train batch elbo -104.367752 = -79.958252 - 24.409496
step 4900, train batch elbo -98.118790 = -73.439629 - 24.679159
step 5000, train batch elbo -98.544617 = -74.740471 - 23.804144
