n_ch 32, n_noise 50
step 100, train batch D loss 4.784230, G loss 0.557157
step 200, train batch D loss 7.709542, G loss 0.577091
step 300, train batch D loss 10.687740, G loss 0.633753
step 400, train batch D loss 0.647308, G loss 2.599258
step 500, train batch D loss 2.024898, G loss 0.307767
step 600, train batch D loss 0.560414, G loss 1.236810
step 700, train batch D loss 0.856472, G loss 0.967553
step 800, train batch D loss 1.086069, G loss 0.884634
step 900, train batch D loss 1.108419, G loss 0.893791
step 1000, train batch D loss 1.134917, G loss 0.836004
step 1100, train batch D loss 1.115415, G loss 0.912326
step 1200, train batch D loss 1.146710, G loss 0.862512
step 1300, train batch D loss 1.137155, G loss 0.828876
step 1400, train batch D loss 1.175407, G loss 0.853389
step 1500, train batch D loss 1.165601, G loss 0.778210
step 1600, train batch D loss 1.197230, G loss 0.743403
step 1700, train batch D loss 1.185159, G loss 0.755560
step 1800, train batch D loss 1.181720, G loss 0.815279
step 1900, train batch D loss 1.155287, G loss 0.796169
step 2000, train batch D loss 1.204125, G loss 0.845337
step 2100, train batch D loss 1.115556, G loss 0.821654
step 2200, train batch D loss 1.176304, G loss 0.832639
step 2300, train batch D loss 1.200428, G loss 0.825008
step 2400, train batch D loss 1.210011, G loss 0.801787
step 2500, train batch D loss 1.219082, G loss 0.786687
step 2600, train batch D loss 1.218439, G loss 0.760717
step 2700, train batch D loss 1.164231, G loss 0.777137
step 2800, train batch D loss 1.194464, G loss 0.780229
step 2900, train batch D loss 1.167479, G loss 0.819563
step 3000, train batch D loss 1.186608, G loss 0.805993
step 3100, train batch D loss 1.216556, G loss 0.808977
step 3200, train batch D loss 1.217405, G loss 0.768999
step 3300, train batch D loss 1.240666, G loss 0.783687
step 3400, train batch D loss 1.233830, G loss 0.774766
step 3500, train batch D loss 1.176687, G loss 0.814355
step 3600, train batch D loss 1.227239, G loss 0.806840
step 3700, train batch D loss 1.196847, G loss 0.873668
step 3800, train batch D loss 1.253160, G loss 0.752836
step 3900, train batch D loss 1.181872, G loss 0.872129
step 4000, train batch D loss 1.272243, G loss 0.727977
step 4100, train batch D loss 1.190709, G loss 0.835074
step 4200, train batch D loss 1.229220, G loss 0.766893
step 4300, train batch D loss 1.269106, G loss 0.818224
step 4400, train batch D loss 1.257099, G loss 0.834372
step 4500, train batch D loss 1.267547, G loss 0.792559
step 4600, train batch D loss 1.229814, G loss 0.793039
step 4700, train batch D loss 1.269521, G loss 0.805335
step 4800, train batch D loss 1.262801, G loss 0.781200
step 4900, train batch D loss 1.201754, G loss 0.788835
step 5000, train batch D loss 1.145459, G loss 0.850012
step 5100, train batch D loss 1.257791, G loss 0.766608
step 5200, train batch D loss 1.253353, G loss 0.772640
step 5300, train batch D loss 1.234502, G loss 0.786669
step 5400, train batch D loss 1.260432, G loss 0.757053
step 5500, train batch D loss 1.225104, G loss 0.799309
step 5600, train batch D loss 1.195542, G loss 0.841600
step 5700, train batch D loss 1.230361, G loss 0.800966
step 5800, train batch D loss 1.184078, G loss 0.788145
step 5900, train batch D loss 1.201972, G loss 0.815738
