n_hid 256, n_lat 20
step 100, train batch elbo -177.637558 = -162.379227 - 15.258331
step 200, train batch elbo -163.032242 = -145.267899 - 17.764341
step 300, train batch elbo -150.210037 = -131.327179 - 18.882862
step 400, train batch elbo -143.087234 = -122.967278 - 20.119957
step 500, train batch elbo -139.412415 = -118.410057 - 21.002352
step 600, train batch elbo -129.853210 = -108.214615 - 21.638603
step 700, train batch elbo -130.680557 = -108.191956 - 22.488598
step 800, train batch elbo -128.656860 = -104.984406 - 23.672451
step 900, train batch elbo -117.947792 = -94.235268 - 23.712524
step 1000, train batch elbo -119.540909 = -96.656006 - 22.884907
step 1100, train batch elbo -117.541870 = -94.324417 - 23.217453
step 1200, train batch elbo -122.777954 = -98.817978 - 23.959972
step 1300, train batch elbo -113.953407 = -90.639908 - 23.313498
step 1400, train batch elbo -114.529068 = -90.185150 - 24.343922
step 1500, train batch elbo -115.816925 = -91.029877 - 24.787046
step 1600, train batch elbo -117.900780 = -93.789284 - 24.111494
step 1700, train batch elbo -118.072258 = -93.303177 - 24.769083
step 1800, train batch elbo -107.823029 = -83.974419 - 23.848614
step 1900, train batch elbo -113.378555 = -89.184738 - 24.193821
step 2000, train batch elbo -109.618011 = -85.322884 - 24.295126
step 2100, train batch elbo -116.602364 = -91.911247 - 24.691118
step 2200, train batch elbo -111.306900 = -87.091385 - 24.215513
step 2300, train batch elbo -109.543678 = -84.888870 - 24.654808
step 2400, train batch elbo -113.722855 = -88.664169 - 25.058683
step 2500, train batch elbo -113.710815 = -88.827682 - 24.883129
step 2600, train batch elbo -110.237465 = -84.983963 - 25.253504
step 2700, train batch elbo -107.300629 = -83.118195 - 24.182436
step 2800, train batch elbo -109.824257 = -84.615799 - 25.208456
step 2900, train batch elbo -114.341743 = -89.068481 - 25.273264
step 3000, train batch elbo -115.275009 = -90.085693 - 25.189316
step 3100, train batch elbo -110.067169 = -85.397263 - 24.669907
step 3200, train batch elbo -108.226791 = -83.999809 - 24.226978
step 3300, train batch elbo -107.669174 = -83.251526 - 24.417650
step 3400, train batch elbo -109.540924 = -84.244156 - 25.296764
step 3500, train batch elbo -110.649399 = -85.312332 - 25.337063
step 3600, train batch elbo -111.280663 = -86.422958 - 24.857704
step 3700, train batch elbo -112.859543 = -87.870087 - 24.989460
step 3800, train batch elbo -106.842361 = -82.257950 - 24.584414
step 3900, train batch elbo -110.700562 = -85.154411 - 25.546150
step 4000, train batch elbo -112.746788 = -87.953575 - 24.793215
step 4100, train batch elbo -106.080482 = -81.469513 - 24.610971
step 4200, train batch elbo -115.114502 = -89.367966 - 25.746534
step 4300, train batch elbo -110.185631 = -85.156502 - 25.029131
step 4400, train batch elbo -111.379745 = -86.217537 - 25.162210
step 4500, train batch elbo -110.594872 = -84.605621 - 25.989250
step 4600, train batch elbo -109.041862 = -83.791702 - 25.250160
step 4700, train batch elbo -108.241920 = -83.366371 - 24.875549
step 4800, train batch elbo -107.466156 = -82.222084 - 25.244068
step 4900, train batch elbo -113.098640 = -87.518936 - 25.579704
step 5000, train batch elbo -106.781250 = -81.417336 - 25.363911
