loading preprocessed files
0/8920 (epoch 0), train_loss = 4.181, time/batch = 0.115
model saved to save/model.ckpt
1/8920 (epoch 0), train_loss = 4.142, time/batch = 0.071
2/8920 (epoch 0), train_loss = 4.050, time/batch = 0.072
3/8920 (epoch 0), train_loss = 3.811, time/batch = 0.074
4/8920 (epoch 0), train_loss = 3.574, time/batch = 0.072
5/8920 (epoch 0), train_loss = 3.575, time/batch = 0.071
6/8920 (epoch 0), train_loss = 3.481, time/batch = 0.075
7/8920 (epoch 0), train_loss = 3.430, time/batch = 0.076
8/8920 (epoch 0), train_loss = 3.373, time/batch = 0.069
9/8920 (epoch 0), train_loss = 3.441, time/batch = 0.070
10/8920 (epoch 0), train_loss = 3.326, time/batch = 0.070
11/8920 (epoch 0), train_loss = 3.343, time/batch = 0.069
12/8920 (epoch 0), train_loss = 3.326, time/batch = 0.070
13/8920 (epoch 0), train_loss = 3.302, time/batch = 0.072
14/8920 (epoch 0), train_loss = 3.376, time/batch = 0.073
15/8920 (epoch 0), train_loss = 3.353, time/batch = 0.077
16/8920 (epoch 0), train_loss = 3.307, time/batch = 0.072
17/8920 (epoch 0), train_loss = 3.326, time/batch = 0.071
18/8920 (epoch 0), train_loss = 3.314, time/batch = 0.070
19/8920 (epoch 0), train_loss = 3.280, time/batch = 0.072
20/8920 (epoch 0), train_loss = 3.319, time/batch = 0.070
21/8920 (epoch 0), train_loss = 3.346, time/batch = 0.071
22/8920 (epoch 0), train_loss = 3.346, time/batch = 0.070
23/8920 (epoch 0), train_loss = 3.348, time/batch = 0.072
24/8920 (epoch 0), train_loss = 3.394, time/batch = 0.073
25/8920 (epoch 0), train_loss = 3.339, time/batch = 0.071
26/8920 (epoch 0), train_loss = 3.291, time/batch = 0.073
27/8920 (epoch 0), train_loss = 3.284, time/batch = 0.073
28/8920 (epoch 0), train_loss = 3.271, time/batch = 0.071
29/8920 (epoch 0), train_loss = 3.284, time/batch = 0.071
30/8920 (epoch 0), train_loss = 3.319, time/batch = 0.070
31/8920 (epoch 0), train_loss = 3.352, time/batch = 0.073
32/8920 (epoch 0), train_loss = 3.274, time/batch = 0.074
33/8920 (epoch 0), train_loss = 3.297, time/batch = 0.070
34/8920 (epoch 0), train_loss = 3.287, time/batch = 0.072
35/8920 (epoch 0), train_loss = 3.288, time/batch = 0.071
36/8920 (epoch 0), train_loss = 3.287, time/batch = 0.073
37/8920 (epoch 0), train_loss = 3.251, time/batch = 0.073
38/8920 (epoch 0), train_loss = 3.298, time/batch = 0.071
39/8920 (epoch 0), train_loss = 3.296, time/batch = 0.071
40/8920 (epoch 0), train_loss = 3.301, time/batch = 0.078
41/8920 (epoch 0), train_loss = 3.205, time/batch = 0.071
42/8920 (epoch 0), train_loss = 3.241, time/batch = 0.072
43/8920 (epoch 0), train_loss = 3.199, time/batch = 0.071
44/8920 (epoch 0), train_loss = 3.265, time/batch = 0.071
45/8920 (epoch 0), train_loss = 3.235, time/batch = 0.071
46/8920 (epoch 0), train_loss = 3.233, time/batch = 0.071
47/8920 (epoch 0), train_loss = 3.267, time/batch = 0.070
48/8920 (epoch 0), train_loss = 3.198, time/batch = 0.072
49/8920 (epoch 0), train_loss = 3.231, time/batch = 0.071
50/8920 (epoch 0), train_loss = 3.200, time/batch = 0.072
51/8920 (epoch 0), train_loss = 3.159, time/batch = 0.071
52/8920 (epoch 0), train_loss = 3.175, time/batch = 0.071
53/8920 (epoch 0), train_loss = 3.116, time/batch = 0.070
54/8920 (epoch 0), train_loss = 3.118, time/batch = 0.072
55/8920 (epoch 0), train_loss = 3.114, time/batch = 0.073
56/8920 (epoch 0), train_loss = 3.074, time/batch = 0.071
57/8920 (epoch 0), train_loss = 3.039, time/batch = 0.075
58/8920 (epoch 0), train_loss = 3.027, time/batch = 0.070
59/8920 (epoch 0), train_loss = 3.008, time/batch = 0.071
60/8920 (epoch 0), train_loss = 3.028, time/batch = 0.070
61/8920 (epoch 0), train_loss = 3.038, time/batch = 0.072
62/8920 (epoch 0), train_loss = 2.972, time/batch = 0.074
63/8920 (epoch 0), train_loss = 3.007, time/batch = 0.073
64/8920 (epoch 0), train_loss = 2.965, time/batch = 0.069
65/8920 (epoch 0), train_loss = 2.912, time/batch = 0.077
66/8920 (epoch 0), train_loss = 2.918, time/batch = 0.071
67/8920 (epoch 0), train_loss = 2.875, time/batch = 0.072
68/8920 (epoch 0), train_loss = 2.906, time/batch = 0.072
69/8920 (epoch 0), train_loss = 2.868, time/batch = 0.073
70/8920 (epoch 0), train_loss = 2.861, time/batch = 0.070
71/8920 (epoch 0), train_loss = 2.864, time/batch = 0.071
72/8920 (epoch 0), train_loss = 2.822, time/batch = 0.071
73/8920 (epoch 0), train_loss = 2.796, time/batch = 0.077
74/8920 (epoch 0), train_loss = 2.809, time/batch = 0.075
75/8920 (epoch 0), train_loss = 2.756, time/batch = 0.072
76/8920 (epoch 0), train_loss = 2.765, time/batch = 0.070
77/8920 (epoch 0), train_loss = 2.767, time/batch = 0.072
78/8920 (epoch 0), train_loss = 2.789, time/batch = 0.072
79/8920 (epoch 0), train_loss = 2.745, time/batch = 0.072
80/8920 (epoch 0), train_loss = 2.747, time/batch = 0.072
81/8920 (epoch 0), train_loss = 2.684, time/batch = 0.071
82/8920 (epoch 0), train_loss = 2.742, time/batch = 0.077
83/8920 (epoch 0), train_loss = 2.682, time/batch = 0.070
84/8920 (epoch 0), train_loss = 2.709, time/batch = 0.070
85/8920 (epoch 0), train_loss = 2.681, time/batch = 0.070
86/8920 (epoch 0), train_loss = 2.662, time/batch = 0.073
87/8920 (epoch 0), train_loss = 2.616, time/batch = 0.069
88/8920 (epoch 0), train_loss = 2.699, time/batch = 0.071
89/8920 (epoch 0), train_loss = 2.614, time/batch = 0.072
90/8920 (epoch 0), train_loss = 2.604, time/batch = 0.075
91/8920 (epoch 0), train_loss = 2.588, time/batch = 0.071
92/8920 (epoch 0), train_loss = 2.565, time/batch = 0.072
